"Features of cell nuclei in mouse embryos","Tue 11 Jun 2019 13:13:48","","","","","",""
"from Hadjantonakis lab (https://www.nature.com/articles/ncomms13463), postprocessed in https://www.sciencedirect.com/science/article/pii/S0006349518312578","","","","","","",""
"EmbryoID","CentroidX","CentroidY","CentroidZ","Population","DCGNeighborCount","Nanog-ebLogCor","Gata6-ebLogCor"
3,49.62248,49.35292,38.137,"DP",10.,4.83339131780784,6.61212071294216
3,44.421730000000004,60.920559999999995,36.173,"DP",9.,6.50994094703565,5.37407987539292
3,114.47802999999999,68.0346,38.403,"TE",8.,3.86152382179551,5.27173200195014
3,43.71853,83.00103999999999,37.587,"DP",11.,6.51180699922587,5.90983098242808
3,100.29683,43.96465,41.999,"TE",7.,2.48613529822281,4.42347289745976
3,53.96767,72.15418,38.804,"DP",12.,4.30667039165028,6.61129071288677
3,55.64949,59.757349999999995,41.809,"DP",12.,5.12881285507659,6.51026539595583
3,73.38771,37.92885,43.576,"TE",8.,1.87232068696449,5.10900880441815
3,47.98168,94.53938000000001,42.79,"DP",9.,6.72036343066288,5.68213924126409
3,43.712669999999996,98.7117,46.66,"TE",12.,5.83993675089911,5.80573908106893
3,55.875099999999996,40.77388,47.084,"TE",7.,2.65551747221222,5.78825320707678
3,39.308879999999995,63.80367999999999,45.994,"DP",12.,6.77705341645919,5.10587741954305
3,104.46328999999999,93.92407999999999,46.625,"TE",7.,3.41124542696603,5.32689840501791
3,41.87849,49.58732,49.828,"TE",12.,3.06698693042269,5.3715581099552
3,57.43386,93.10953999999998,50.253,"DP",13.,5.02251253968235,6.61532204468096
3,115.49474,69.89222,49.404,"TE",6.,4.35635973911151,5.08615705336617
3,39.89195,78.33941,48.807,"DP",14.,6.70980037830964,6.13945187800508
3,56.8127,105.75541999999999,52.131,"TE",8.,3.467194347685,5.83574626163133
3,32.85409,72.28309999999999,53.99,"TE",9.,3.66875102207457,5.37250954838246
3,51.837559999999996,83.59582999999999,51.299,"DP",11.,6.57241916975614,6.20512690212616
3,59.24753,53.33186,55.527,"DP",11.,6.64189679932157,5.70976540643511
