"Features of cell nuclei in mouse embryos","Tue 11 Jun 2019 13:09:53","","","","","","",""
"from Munoz-Descalzo lab: https://www.biorxiv.org/content/10.1101/159301v1.article-info","","","","","","","",""
"EmbryoID","CentroidX","CentroidY","CentroidZ","Identity","Population","DCGNeighborCount","Nanog-Avg","Gata6-Avg"
3,111.95240670431056,79.34530685564253,48.693361829380024,"TE","N+G+",6.,15.466,42.37
3,115.2988196891861,126.10452040347401,44.192980361139355,"ICM+Epi","N+G-",13.,42.397,22.997
3,62.301696591140086,142.6699704292133,47.04974424967474,"TE","N-G+",3.,11.592,37.167
3,51.902669882070256,89.35898432983058,46.40815668566697,"TE","N-G+",4.,10.654,27.959
3,81.72636664554472,145.93998243193016,49.24432386267723,"TE","N-G+",5.,11.458,38.839
3,131.03663243193017,95.23325738860336,46.42463405488708,"TE","N+G+",6.,15.714,27.919
3,121.87945377851936,98.52676648355532,52.399740068326984,"ICM+Epi","N+G+",9.,36.789,39.681
3,103.48772276106473,136.8387753728715,50.08466969290248,"ICM+Epi","N+G+",11.,42.592,30.039
3,97.39841173425077,143.05375626905314,57.98556823394195,"TE","N+G+",6.,13.899,31.305
3,113.85193130034975,134.4851499673232,56.87334581158499,"ICM+Epi","N+G+",10.,14.538,36.658
3,115.34911260109752,90.09522655319675,59.00922479674085,"ICM+Epi","N+G+",10.,40.644,29.085
3,119.74393936504967,108.66184560095797,58.18020715785442,"ICM+Epi","N+G+",11.,22.031,49.893
3,110.59449808270212,114.01135026648042,61.460233468231195,"ICM+Epi","N+G+",12.,25.377,29.923
3,128.64965345890337,115.51124798748705,62.12035807261158,"TE","N+G+",11.,13.584,30.335
3,69.18408815194188,67.62417401237121,67.64542593922741,"TE","N+G+",2.,12.659,29.891
3,51.29141756806985,126.96216427005484,68.62376973667102,"TE","N-G+",2.,11.359,30.939
3,103.67341966658384,133.705829741526,69.96358582138066,"TE","N+G+",6.,11.935,34.594
3,53.97241664150193,83.1988299821975,69.82146851185729,"TE","N-G+",3.,10.772,26.963
3,107.27129721101649,86.56674653589388,74.7770373048033,"TE","N+G+",5.,12.712,30.263
3,112.72614381064017,104.9649697559703,74.82029039900608,"TE","N+G+",7.,17.062,34.556
3,55.54697165288267,108.38379667617608,81.24749423042256,"TE","N-G+",2.,10.23,28.363
3,81.24664963962036,81.33472733154692,82.52140083825178,"TE","N-G+",2.,10.62,25.657
3,90.3651414377147,125.34869726991192,82.71809943331677,"TE","N+G+",2.,15.81,27.714
3,99.85115836131561,109.53907037773472,84.86015743193016,"TE","N-G+",5.,10.769,26.958
4,99.13141158226885,108.03342076248128,6.6593531743736705,"TE","N-G+",9.,11.758,42.386
4,111.14737644772732,100.22155134730956,6.725682479923061,"TE","N+G+",9.,11.95,35.168
4,119.47654378473356,118.78166662449061,7.359712606498125,"TE","N-G+",11.,11.244,33.875
4,93.5726907439158,125.67298841627058,10.082294442330413,"TE","N-G+",10.,10.287,33.562
4,86.84446353290093,102.32261606181021,11.310310687486327,"TE","N+G+",11.,13.563,38.898
4,106.05931061300647,126.29094862641782,10.265059401893753,"TE","N-G+",9.,10.49,30.492
4,103.04997104432785,92.66965139985494,14.708917519815818,"ICM+Epi","N+G+",9.,26.549,46.508
4,111.60376917852217,110.25807751901137,15.99340608393793,"ICM+Epi","N+G-",16.,12.497,19.258
4,94.40703370490016,87.12931848129344,18.45559919086425,"TE","N-G+",9.,10.746,31.417
4,81.87762701729748,92.0857855461296,22.79370005690416,"TE","N-G+",8.,10.319,33.537
4,123.17760358602314,93.01059496407412,21.012255085879488,"TE","N-G+",10.,9.9312,26.652
4,113.90712624175251,97.39598155884318,17.37235743614896,"ICM+Epi","N+G+",10.,17.884,35.646
4,88.27069081663487,133.84284857387243,22.62325633056981,"TE","N+G+",7.,12.026,36.161
4,130.66529682562634,111.49399793930587,23.84305842023973,"TE","N+G+",11.,12.828,29.178
4,105.84181095223705,96.19841728952335,24.863667239374326,"ICM+Epi","N+G+",15.,21.984,27.854
4,71.77993784846116,97.36188720242129,24.909871863983035,"TE","N+G+",6.,12.713,36.68
4,126.33313145128447,123.61880344185008,24.47452162322542,"ICM+Epi","N+G-",11.,33.439,20.171
4,119.16633935052141,125.57496714155755,25.656333243772625,"ICM+Epi","N+G+",11.,16.608,41.709
4,113.0799144171868,128.04680798214656,24.016582454881327,"ICM+Epi","N+G+",10.,17.154,38.856
4,102.14075115094748,130.07542218925062,25.93356099142488,"ICM+Epi","N+G+",12.,12.668,50.217
4,105.59935231400229,141.78257182562635,28.796194178293344,"TE","N-G+",12.,10.527,27.405
4,78.93246767638688,123.44833165974052,30.830224430512292,"TE","N+G+",10.,12.474,39.684
4,108.15229915188603,80.95397817437369,30.47393543630736,"TE","N+G+",12.,12.464,29.582
4,92.10367664166985,82.82916777757914,32.005875434445,"TE","N+G+",8.,13.883,31.252
4,112.54864475399593,116.69338729364821,26.889483336107283,"ICM+Epi","N+G+",12.,12.201,37.256
4,96.15059655926493,114.58806078459483,34.22780449340604,"ICM+Epi","N-G+",18.,11.528,37.592
4,118.8383070752626,95.42277068092474,32.1270342278634,"ICM+Epi","N+G+",11.,28.117,45.56
4,110.78725405858451,106.6270285600772,31.704005220334768,"ICM+Epi","N+G-",15.,36.983,16.94
4,98.3291587351685,94.70252740151174,34.94346279012316,"ICM+Epi","N+G-",14.,20.719,18.051
4,105.78119629267836,122.88577477877888,36.21049627383753,"ICM+Epi","N+G-",14.,33.503,18.545
4,69.84383431079235,106.99780468616555,40.72828179113353,"TE","N+G+",6.,14.925,33.625
4,92.87740494309551,135.77770330081626,39.16553870992341,"TE","N+G+",10.,12.124,38.443
